Fecha,Hora,Nivel EAR,Alerta
2025-07-21,14:04:47,0.149,FATIGA DETECTADA
2025-07-21,14:04:47,0.17,FATIGA DETECTADA
2025-07-21,14:04:47,0.167,FATIGA DETECTADA
2025-07-21,14:04:47,0.164,FATIGA DETECTADA
2025-07-21,14:04:47,0.186,FATIGA DETECTADA
2025-07-21,14:04:48,0.182,FATIGA DETECTADA
2025-07-21,14:04:48,0.146,FATIGA DETECTADA
2025-07-21,14:04:48,0.143,FATIGA DETECTADA
2025-07-21,14:04:48,0.161,FATIGA DETECTADA
2025-07-21,14:04:48,0.196,FATIGA DETECTADA
2025-07-21,14:04:48,0.143,FATIGA DETECTADA
2025-07-21,14:04:48,0.107,FATIGA DETECTADA
2025-07-21,14:04:48,0.122,FATIGA DETECTADA
2025-07-21,14:04:48,0.214,FATIGA DETECTADA
2025-07-21,14:04:48,0.302,RECUPERACIÓN
2025-07-21,14:05:12,0.121,FATIGA DETECTADA
2025-07-21,14:05:12,0.103,FATIGA DETECTADA
2025-07-21,14:05:12,0.1,FATIGA DETECTADA
2025-07-21,14:05:13,0.107,FATIGA DETECTADA
2025-07-21,14:05:13,0.107,FATIGA DETECTADA
2025-07-21,14:05:13,0.109,FATIGA DETECTADA
2025-07-21,14:05:13,0.142,FATIGA DETECTADA
2025-07-21,14:05:13,0.251,RECUPERACIÓN
2025-07-21,14:06:06,0.199,FATIGA DETECTADA
2025-07-21,14:06:07,0.166,FATIGA DETECTADA
2025-07-21,14:06:07,0.204,FATIGA DETECTADA
2025-07-21,14:06:07,0.193,FATIGA DETECTADA
2025-07-21,14:06:07,0.198,FATIGA DETECTADA
2025-07-21,14:06:07,0.204,FATIGA DETECTADA
2025-07-21,14:06:07,0.186,FATIGA DETECTADA
2025-07-21,14:06:07,0.21,FATIGA DETECTADA
2025-07-21,14:06:07,0.24,FATIGA DETECTADA
2025-07-21,14:06:07,0.242,FATIGA DETECTADA
2025-07-21,14:06:07,0.256,RECUPERACIÓN
2025-07-21,14:06:26,0.194,FATIGA DETECTADA
2025-07-21,14:06:26,0.195,FATIGA DETECTADA
2025-07-21,14:06:26,0.238,FATIGA DETECTADA
2025-07-21,14:06:26,0.237,FATIGA DETECTADA
2025-07-21,14:06:27,0.217,FATIGA DETECTADA
2025-07-21,14:06:27,0.214,FATIGA DETECTADA
2025-07-21,14:06:27,0.224,FATIGA DETECTADA
2025-07-21,14:06:27,0.236,FATIGA DETECTADA
2025-07-21,14:06:27,0.217,FATIGA DETECTADA
2025-07-21,14:06:27,0.271,RECUPERACIÓN
2025-07-21,14:06:34,0.109,FATIGA DETECTADA
2025-07-21,14:06:34,0.133,FATIGA DETECTADA
2025-07-21,14:06:34,0.116,FATIGA DETECTADA
2025-07-21,14:06:34,0.121,FATIGA DETECTADA
2025-07-21,14:06:35,0.122,FATIGA DETECTADA
2025-07-21,14:06:35,0.134,FATIGA DETECTADA
2025-07-21,14:06:35,0.1,FATIGA DETECTADA
2025-07-21,14:06:35,0.124,FATIGA DETECTADA
2025-07-21,14:06:35,0.123,FATIGA DETECTADA
2025-07-21,14:06:35,0.124,FATIGA DETECTADA
2025-07-21,14:06:35,0.114,FATIGA DETECTADA
2025-07-21,14:06:35,0.124,FATIGA DETECTADA
2025-07-21,14:06:35,0.144,FATIGA DETECTADA
2025-07-21,14:06:35,0.124,FATIGA DETECTADA
2025-07-21,14:06:35,0.166,FATIGA DETECTADA
2025-07-21,14:06:36,0.152,FATIGA DETECTADA
2025-07-21,14:06:36,0.198,FATIGA DETECTADA
2025-07-21,14:06:36,0.207,FATIGA DETECTADA
2025-07-21,14:06:36,0.231,FATIGA DETECTADA
2025-07-21,14:06:36,0.245,FATIGA DETECTADA
2025-07-21,14:06:36,0.231,FATIGA DETECTADA
2025-07-21,14:06:36,0.256,RECUPERACIÓN
2025-07-21,14:20:49,0.191,FATIGA DETECTADA
2025-07-21,14:20:49,0.211,RECUPERACIÓN
2025-07-21,14:21:15,0.147,FATIGA DETECTADA
2025-07-21,14:21:15,0.155,FATIGA DETECTADA
2025-07-21,14:21:15,0.157,FATIGA DETECTADA
2025-07-21,14:21:15,0.157,FATIGA DETECTADA
2025-07-21,14:21:15,0.184,FATIGA DETECTADA
2025-07-21,14:21:15,0.173,FATIGA DETECTADA
2025-07-21,14:21:15,0.173,FATIGA DETECTADA
2025-07-21,14:21:16,0.165,FATIGA DETECTADA
2025-07-21,14:21:16,0.142,FATIGA DETECTADA
2025-07-21,14:21:16,0.142,FATIGA DETECTADA
2025-07-21,14:21:16,0.164,FATIGA DETECTADA
2025-07-21,14:21:16,0.166,FATIGA DETECTADA
2025-07-21,14:21:16,0.197,FATIGA DETECTADA
2025-07-21,14:21:16,0.198,FATIGA DETECTADA
2025-07-21,14:21:16,0.198,FATIGA DETECTADA
2025-07-21,14:21:16,0.224,RECUPERACIÓN
